genre,count
deep ccm,10
british choir,10
christian metalcore,10
minneapolis metal,9
metal catala,9
symphonic black metal,9
canadian black metal,9
hindi hip hop,9
black sludge,9
swedish doom metal,9
puerto rican indie,9
vocaloid,9
unblack metal,9
french indietronica,8
japanese ska,8
berlin school,8
new french touch,8
turkish trap pop,8
bulgarian indie,8
instrumental death metal,7
norwegian metal,7
avant-garde black metal,7
boston rock,7
strut,7
irish pop,7
norwegian black metal,7
turbo folk,7
contrabass,6
j-rap,6
chaotic black metal,6
cosmic black metal,6
deep liquid bass,5
australian alternative pop,5
tagalog rap,3
polyphony,3
pinoy hip hop,3
chill r&b,2
indian lo-fi,2
go-go,2
abstract,2
drone metal,1
